Wines,Points,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Maximin Grunhauser Abtsberg Riesling Beerenauslese,90,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Joh. Jos. Christoffel Erben Erdener Treppchen Riesling Auslese,91,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Gunderloch Nackenheimer Rothenberg Riesling Auslese,92,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weingut Salomon-Undhof 'Undhof Kogl' Riesling Erste OTW Lage,88,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weingut Jos. Christoffel Jr. Christoffel-Prum Urziger Wurzgarten Riesling Auslese,92,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Selbach-Oster Zeltinger Himmelreich Riesling Eiswein,94,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Schloss Vollrads Riesling Auslese,90,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Gunderloch Nackenheimer Rothenberg Riesling Beerenauslese,95,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weingut Willi Schaefer Graacher Himmelreich Riesling Auslese,90,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weingut Donnhoff 'Felsenturmchen' Schlossbockelheimer Felsenberg Riesling Spatlese,91,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Schafer-Frohlich Bockenauer Felseneck Riesling Auslese Goldkapsel,94,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weingut Karthauserhof Eitelsbacher Karthauserhofberg Riesling Eiswein,93,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weingut Robert Weil Kiedricher Grafenberg Riesling Auslese Goldkapsel,95,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Albert Boxler Riesling Sommerberg Vendanges Tardives,91,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Monchhof Urziger Wurzgarten Riesling Auslese,92,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Peter Jakob Kuhn Oestricher Lenchen Riesling Auslese,90,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Schafer-Frohlich Bockenauer Felseneck Riesling Eiswein Goldkapsel,93,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weingut A.J. Adam Dhroner Hofberg Riesling Spatlese,90,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Marc Kreydenweiss Riesling Andlau 'Au Dessus des Lois',85,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Von Othegraven Kanzemer Altenberg Riesling Auslese,92,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Schloss Vollrads Riesling Beerenauslese,88,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weingut Emrich-Schonleber Monzinger Halenberg Riesling Eiswein,94,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
