Wines,Points,Year
Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Grosses Gewachs,95,2014 
Egon Muller Scharzhofberger Riesling Spatlese,94,2014 
Weingut Keller Dalsheimer Hubacker Riesling Grosses Gewachs,92,2014 
Egon Muller Scharzhofberger Riesling Auslese,95,2014 
F E Trimbach Riesling Cuvee Frederic Emile,94,2014 
Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewachs,92,2014 
Loosen Bros Dr. L Riesling,86,2014 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Spatlese,93,2014 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Kabinett,92,2014 
Markus Molitor Zeltinger Sonnenuhr Riesling Auslese,96,2014 
Egon Muller 'Scharzhof' Riesling,89,2014 
Chateau Ste. Michelle Riesling,86,2014 
F.X. Pichler Durnsteiner Kellerberg Riesling Smaragd,93,2014 
Weingut Robert Weil Kiedricher Grafenberg Riesling Grosses Gewachs,92,2014 
F E Trimbach Riesling,89,2014 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Spatlese,92,2014 
Inniskillin Riesling Icewine,91,2014 
Weingut Emrich-Schonleber Monzinger Halenberg Riesling Grosses Gewachs,93,2014 
Weingut Keller Westhofener Morstein Riesling Grosses Gewachs,93,2014 
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese Goldkapsel,94,2014 
Joh. Jos. Prum Graacher Himmelreich Riesling Spatlese,92,2014 
Egon Muller 'Le Gallais' Wiltinger Braune Kupp Riesling Spatlese,94,2014 
Weingut Donnhoff Oberhauser Leistenberg Riesling Kabinett,90,2014 
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese,92,2014 
Van Volxem Scharzhofberger 'P' Pergentsknopp' Riesling Grosses Gewachs,92,2014 
Chateau Ste. Michelle & Dr. Loosen 'Eroica' Riesling,89,2014 
Schloss Gobelsburg Heiligenstein Riesling Reserve Erste OTW Lage,93,2014 
Weingut Brundlmayer Zobinger Heiligenstein Alte Reben Reserve Riesling,94,2014 
Egon Muller 'Le Gallais' Wiltinger Braune Kupp Riesling Kabinett,91,2014 
Weingut Keller Nierstein Hipping Riesling Grosses Gewachs,94,2014 
Weingut Donnhoff Oberhauser Brucke Riesling Spatlese,92,2014 
Weingut Keller Niersteiner Pettenthal Riesling Grosses Gewachs,93,2014 
