Wines,Points,Year
Weingut Donnhoff 'Felsenturmchen' Schlossbockelheimer Felsenberg Riesling Grosses Gewachs,92 ,2016 
Markus Molitor Wehlener Sonnenuhr Riesling Auslese,95 ,2016 
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese Goldkapsel,94 ,2016 
Joh. Jos. Prum Graacher Himmelreich Riesling Spatlese,92 ,2016 
A. Christmann Konigsbacher Idig Riesling Grosses Gewachs,92 ,2016 
Egon Muller 'Le Gallais' Wiltinger Braune Kupp Riesling Spatlese,94 ,2016 
Weingut Donnhoff Oberhauser Leistenberg Riesling Kabinett,90 ,2016 
Dr. Loosen Wehlener Sonnenuhr Alte Reben Riesling Grosses Gewachs,91 ,2016 
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese,92 ,2016 
Schloss Vollrads Riesling,90 ,2016 
Weingut Robert Weil Riesling Trocken,89 ,2016 
Egon Muller Scharzhofberger Riesling Eiswein,96 ,2016 
Weingut Willi Schaefer Graacher Domprobst Riesling Spatlese 5,93 ,2016 
Chateau Ste. Michelle & Dr. Loosen 'Eroica' Riesling,89 ,2016 
Weingut Emmerich Knoll Ried Schutt Riesling Smaragd,94 ,2016 
Weingut Willi Schaefer Graacher Domprobst Riesling Kabinett,91 ,2016 
Schloss Gobelsburg Heiligenstein Riesling Reserve Erste OTW Lage,92 ,2016 
Weingut Brundlmayer Zobinger Heiligenstein Alte Reben Reserve Riesling,95 ,2016 
Maximin Grunhauser Abtsberg Riesling Spatlese,93 ,2016 
Weingut Clemens Busch Pundericher Marienburg Rothenpfad Riesling Grosses Gewachs,92 ,2016 
F E Trimbach Riesling Clos Sainte Hune,96 ,2017 
Egon Muller Scharzhofberger Riesling Kabinett,92 ,2017 
Weingut Keller G-Max Riesling Trocken,96 ,2017 
Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Grosses Gewachs,95 ,2017 
Egon Muller Scharzhofberger Riesling Spatlese,94 ,2017 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese,93 ,2017 
Weingut Keller Dalsheimer Hubacker Riesling Grosses Gewachs,92 ,2017 
Egon Muller Scharzhofberger Riesling Trockenbeerenauslese,0,2017 
Egon Muller Scharzhofberger Riesling Auslese,95 ,2017 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Grosses Gewachs,94 ,2017 
Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewachs,95 ,2017 
Weingut Donnhoff Norheimer Dellchen Riesling Grosses Gewachs,93 ,2017 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese Goldkapsel,96 ,2017 
Loosen Bros Dr. L Riesling,86 ,2017 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Spatlese,93 ,2017 
