Wines,Points,Year
Chateau Grand-Puy-Lacoste,93 ,2010 
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,2010 
Chateau Duhart-Milon,92 ,2010 
Chateau Troplong Mondot,94 ,2010 
Le Pin,97 ,2010 
Chateau La Fleur-Petrus,94 ,2010 
Domaine de Chevalier,94 ,2010 
Chateau La Conseillante,95 ,2010 
Chateau Lagrange,92 ,2010 
Baron Philippe de Rothschild Chateau d'Armailhac,92 ,2010 
Chateau Latour 'Les Forts de Latour',93 ,2010 
Chateau Brane-Cantenac,93 ,2010 
Chateau Cantemerle,91 ,2010 
Chateau Mouton Rothschild,94 ,2011 
Chateau Lafite Rothschild,94 ,2011 
Petrus,94 ,2011 
Chateau Margaux,94 ,2011 
Chateau Latour,94 ,2011 
Chateau Haut-Brion,94 ,2011 
Chateau d'Yquem,96 ,2011 
Chateau Pontet-Canet,93 ,2011 
Chateau Lynch-Bages,91 ,2011 
Chateau Cheval Blanc,94 ,2011 
Chateau Pichon Longueville Comtesse de Lalande,92 ,2011 
Chateau Cos d'Estournel,92 ,2011 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',93 ,2011 
Chateau Montrose,92 ,2011 
Chateau Palmer,93 ,2011 
Chateau Ducru-Beaucaillou,93 ,2011 
Chateau Leoville Poyferre,92 ,2011 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,92 ,2011 
Chateau La Mission Haut-Brion,93 ,2011 
Chateau Angelus,93 ,2011 
Chateau Leoville Barton,92 ,2011 
Chateau Figeac,92 ,2011 
Chateau Pavie,92 ,2011 
Chateau Talbot,90 ,2011 
Chateau Smith Haut Lafitte,92 ,2011 
Chateau Calon-Segur,92 ,2011 
Chateau Lafleur,94 ,2011 
Chateau Lascombes,90 ,2011 
Chateau Pape Clement,91 ,2011 
Chateau Ausone,95 ,2011 
Vieux Chateau Certan,94 ,2011 
Chateau Canon,92 ,2011 
Chateau Gruaud-Larose,90 ,2011 
Chateau Branaire-Ducru,91 ,2011 
Chateau Rauzan-Segla,91 ,2011 
Chateau Giscours,90 ,2011 
Chateau Beychevelle,90 ,2011 
Chateau Grand-Puy-Lacoste,91 ,2011 
