Name,Rating,Region,Year
2006 Chateau Duhart-Milon 'Moulin de Duhart',0,"Pauillac, France",2006
2006 Chateau Fonbadet,87 ,"Pauillac, France",2006
2006 Chateau Pontet-Canet 'Les Hauts de Pontet-Canet',88 ,"Pauillac, France",2006
2006 Chateau La Fleur Peyrabon,87 ,"Pauillac, France",2006
2006 Chateau Colombier-Monpelou,88 ,"Pauillac, France",2006
Chateau Mouton Rothschild,96 ,"Pauillac, France",2006
Chateau Lafite Rothschild,95 ,"Pauillac, France",2006
Chateau Latour,96 ,"Pauillac, France",2006
Chateau Pontet-Canet,95 ,"Pauillac, France",2006
Chateau Lynch-Bages,93 ,"Pauillac, France",2006
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2006
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2006
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2006
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2006
Chateau Duhart-Milon,91 ,"Pauillac, France",2006
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2006
2007 Chateau Mouton Rothschild,93 ,"Pauillac, France",2007
2007 Chateau Lafite Rothschild,93 ,"Pauillac, France",2007
2007 Chateau Latour,92 ,"Pauillac, France",2007
2007 Chateau Pontet-Canet,91 ,"Pauillac, France",2007
2007 Chateau Lynch-Bages,90 ,"Pauillac, France",2007
2007 Chateau Pichon Longueville Comtesse de Lalande,90 ,"Pauillac, France",2007
2007 Chateau Pichon-Longueville au Baron de Pichon-Longueville,92 ,"Pauillac, France",2007
2007 Chateau Lafite Rothschild 'Carruades de Lafite',88 ,"Pauillac, France",2007
2007 Chateau Duhart-Milon,89 ,"Pauillac, France",2007
2007 Chateau Latour 'Les Forts de Latour',90 ,"Pauillac, France",2007
2007 Chateau Clerc-Milon,88 ,"Pauillac, France",2007
2007 Chateau Latour Le Pauillac de Latour,87 ,"Pauillac, France",2007
2007 Chateau Haut-Bages Liberal,87 ,"Pauillac, France",2007
2007 Chateau Grand-Puy Ducasse,87 ,"Pauillac, France",2007
2007 Chateau Pedesclaux,87 ,"Pauillac, France",2007
2007 Chateau Croizet-Bages,87 ,"Pauillac, France",2007
2007 Chateau Duhart-Milon 'Moulin de Duhart',0,"Pauillac, France",2007
2007 Chateau La Fleur Peyrabon,87 ,"Pauillac, France",2007
Chateau Mouton Rothschild,96 ,"Pauillac, France",2007
Chateau Lafite Rothschild,95 ,"Pauillac, France",2007
Chateau Latour,96 ,"Pauillac, France",2007
Chateau Pontet-Canet,95 ,"Pauillac, France",2007
Chateau Lynch-Bages,93 ,"Pauillac, France",2007
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2007
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2007
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2007
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2007
Chateau Duhart-Milon,91 ,"Pauillac, France",2007
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2007
2008 Chateau Mouton Rothschild,95 ,"Pauillac, France",2008
2008 Chateau Lafite Rothschild,94 ,"Pauillac, France",2008
2008 Chateau Latour,95 ,"Pauillac, France",2008
2008 Chateau Pontet-Canet,92 ,"Pauillac, France",2008
2008 Chateau Lynch-Bages,91 ,"Pauillac, France",2008
2008 Chateau Pichon Longueville Comtesse de Lalande,91 ,"Pauillac, France",2008
2008 Chateau Pichon-Longueville au Baron de Pichon-Longueville,93 ,"Pauillac, France",2008
2008 Chateau Grand-Puy-Lacoste,90 ,"Pauillac, France",2008
2008 Chateau Lafite Rothschild 'Carruades de Lafite',90 ,"Pauillac, France",2008
2008 Chateau Duhart-Milon,91 ,"Pauillac, France",2008
2008 Baron Philippe de Rothschild Chateau d'Armailhac,89 ,"Pauillac, France",2008
2008 Chateau Latour 'Les Forts de Latour',91 ,"Pauillac, France",2008
2008 Chateau Clerc-Milon,90 ,"Pauillac, France",2008
2008 Chateau Batailley Grand Cru,90 ,"Pauillac, France",2008
2008 Chateau Pichon Longueville Comtesse de Lalande 'Pichon Comtesse Reserve',89 ,"Pauillac, France",2008
2008 Chateau Latour Le Pauillac de Latour,88 ,"Pauillac, France",2008
2008 Le Petit Mouton de Mouton Rothschild,90 ,"Pauillac, France",2008
2008 Chateau Haut-Bages Liberal,89 ,"Pauillac, France",2008
2008 Chateau Grand-Puy Ducasse,88 ,"Pauillac, France",2008
2008 Chateau Croizet-Bages,86 ,"Pauillac, France",2008
2008 Chateau Duhart-Milon 'Moulin de Duhart',91 ,"Pauillac, France",2008
2008 Chateau Pontet-Canet 'Les Hauts de Pontet-Canet',88 ,"Pauillac, France",2008
2008 Chateau La Fleur Peyrabon,88 ,"Pauillac, France",2008
Chateau Mouton Rothschild,96 ,"Pauillac, France",2008
Chateau Lafite Rothschild,95 ,"Pauillac, France",2008
Chateau Latour,96 ,"Pauillac, France",2008
Chateau Pontet-Canet,95 ,"Pauillac, France",2008
Chateau Lynch-Bages,93 ,"Pauillac, France",2008
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2008
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2008
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2008
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2008
Chateau Duhart-Milon,91 ,"Pauillac, France",2008
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2008
2009 Chateau Mouton Rothschild,97 ,"Pauillac, France",2009
2009 Chateau Lafite Rothschild,96 ,"Pauillac, France",2009
2009 Chateau Latour,97 ,"Pauillac, France",2009
2009 Chateau Pontet-Canet,96 ,"Pauillac, France",2009
2009 Chateau Lynch-Bages,94 ,"Pauillac, France",2009
2009 Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2009
2009 Chateau Pichon-Longueville au Baron de Pichon-Longueville,95 ,"Pauillac, France",2009
2009 Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2009
2009 Chateau Latour 'Les Forts de Latour',93 ,"Pauillac, France",2009
2009 Le Petit Mouton de Mouton Rothschild,91 ,"Pauillac, France",2009
2009 Chateau La Fleur Peyrabon,88 ,"Pauillac, France",2009
Chateau Mouton Rothschild,96 ,"Pauillac, France",2009
Chateau Lafite Rothschild,95 ,"Pauillac, France",2009
Chateau Latour,96 ,"Pauillac, France",2009
Chateau Pontet-Canet,95 ,"Pauillac, France",2009
Chateau Lynch-Bages,93 ,"Pauillac, France",2009
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2009
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2009
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2009
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2009
Chateau Duhart-Milon,91 ,"Pauillac, France",2009
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2009
2010 Chateau Mouton Rothschild,97 ,"Pauillac, France",2010
2010 Chateau Latour,98 ,"Pauillac, France",2010
2010 Chateau Pontet-Canet,96 ,"Pauillac, France",2010
2010 Chateau Lynch-Bages,94 ,"Pauillac, France",2010
2010 Chateau Pichon-Longueville au Baron de Pichon-Longueville,96 ,"Pauillac, France",2010
2010 Chateau Grand-Puy-Lacoste,93 ,"Pauillac, France",2010
2010 Chateau Latour 'Les Forts de Latour',93 ,"Pauillac, France",2010
2010 Chateau Pedesclaux,89 ,"Pauillac, France",2010
Chateau Mouton Rothschild,96 ,"Pauillac, France",2010
Chateau Lafite Rothschild,95 ,"Pauillac, France",2010
Chateau Latour,96 ,"Pauillac, France",2010
Chateau Pontet-Canet,95 ,"Pauillac, France",2010
Chateau Lynch-Bages,93 ,"Pauillac, France",2010
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2010
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2010
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2010
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2010
Chateau Duhart-Milon,91 ,"Pauillac, France",2010
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2010
2011 Chateau Mouton Rothschild,94 ,"Pauillac, France",2011
2011 Chateau Pontet-Canet,93 ,"Pauillac, France",2011
2011 Chateau Lynch-Bages,91 ,"Pauillac, France",2011
2011 Chateau Pichon Longueville Comtesse de Lalande,92 ,"Pauillac, France",2011
Chateau Mouton Rothschild,96 ,"Pauillac, France",2011
Chateau Lafite Rothschild,95 ,"Pauillac, France",2011
Chateau Latour,96 ,"Pauillac, France",2011
Chateau Pontet-Canet,95 ,"Pauillac, France",2011
Chateau Lynch-Bages,93 ,"Pauillac, France",2011
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2011
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2011
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2011
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2011
Chateau Duhart-Milon,91 ,"Pauillac, France",2011
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2011
2012 Chateau Mouton Rothschild,95 ,"Pauillac, France",2012
2012 Chateau Lafite Rothschild,93 ,"Pauillac, France",2012
2012 Chateau Latour,94 ,"Pauillac, France",2012
2012 Chateau Pontet-Canet,93 ,"Pauillac, France",2012
2012 Chateau Lynch-Bages,91 ,"Pauillac, France",2012
2012 Chateau Pichon Longueville Comtesse de Lalande,92 ,"Pauillac, France",2012
2012 Chateau Pichon-Longueville au Baron de Pichon-Longueville,93 ,"Pauillac, France",2012
2012 Chateau Grand-Puy-Lacoste,91 ,"Pauillac, France",2012
2012 Chateau Lafite Rothschild 'Carruades de Lafite',90 ,"Pauillac, France",2012
2012 Chateau Duhart-Milon,90 ,"Pauillac, France",2012
2012 Baron Philippe de Rothschild Chateau d'Armailhac,90 ,"Pauillac, France",2012
2012 Chateau Latour 'Les Forts de Latour',91 ,"Pauillac, France",2012
2012 Chateau Clerc-Milon,91 ,"Pauillac, France",2012
2012 Chateau Batailley Grand Cru,90 ,"Pauillac, France",2012
2012 Chateau Pichon Longueville Comtesse de Lalande 'Pichon Comtesse Reserve',89 ,"Pauillac, France",2012
2012 Chateau Latour Le Pauillac de Latour,89 ,"Pauillac, France",2012
2012 Le Petit Mouton de Mouton Rothschild,90 ,"Pauillac, France",2012
2012 Chateau Lynch-Moussas,89 ,"Pauillac, France",2012
2012 Chateau Haut-Batailley,90 ,"Pauillac, France",2012
2012 Chateau Haut-Bages Liberal,88 ,"Pauillac, France",2012
2012 Chateau Grand-Puy Ducasse,89 ,"Pauillac, France",2012
